user_id,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Open_Prod,Close_Prod,Total_Rel_Chng,Total_Rel_Chng_Ratio,Open_Prod_Q1,Open_Prod_Q2,Open_Prod_Q3,Open_Prod_Q4,Close_Prod_Q1,Close_Prod_Q2,Close_Prod_Q3,Close_Prod_Q4,Contacts_Count_12_mon,Total_Trans_Ct_12_mon,Total_Buy_Amt,Total_Dep_Amt
714691683,Existing Customer,62,M,1,Graduate,Single,$60K - $80K,Blue,54,4,5,9,0,0.0,3,2,"","",1,3,4,1,14,110,141035,151293
714741933,Existing Customer,42,M,4,Unknown,Married,$60K - $80K,Blue,32,1,7,7,1,1.0,4,2,"",1,3,2,"",2,14,95,143467,118239
714926508,Existing Customer,52,M,2,Graduate,Married,$80K - $120K,Silver,45,5,9,9,5,1.0,2,2,3,2,"",6,2,1,18,112,157325,146844
714940608,Existing Customer,36,M,2,High School,Divorced,$40K - $60K,Blue,36,3,8,3,8,2.67,2,2,2,2,2,"","",1,11,88,114466,117599
715312158,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,29,4,6,9,1,0.25,2,3,"",1,1,1,5,2,15,72,83499,83394
715849983,Existing Customer,44,F,4,Unknown,Married,Less than $40K,Blue,36,4,6,6,4,1.0,2,1,2,1,1,"",3,2,12,107,150866,110573
716358033,Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,43,6,3,10,-1,-0.17,2,"",1,"",2,2,6,"",13,99,97592,149717
716568708,Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,36,6,6,6,6,1.0,2,1,2,1,2,2,"",2,12,101,119965,148684
716900433,Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,28,6,6,9,3,0.5,2,2,1,1,2,1,2,4,15,97,103541,141132
717822108,Existing Customer,60,F,0,Uneducated,Single,Less than $40K,Blue,48,3,7,7,3,1.0,1,3,2,1,2,"",4,1,14,87,101538,131234
717893358,Existing Customer,43,F,3,Graduate,Married,Unknown,Blue,33,6,8,7,7,1.17,2,1,4,1,3,1,1,2,15,95,116687,106051
718194858,Existing Customer,48,F,5,Graduate,Single,Unknown,Blue,35,5,5,5,5,1.0,2,1,"",2,2,2,"",1,10,96,112751,130773
718276758,Existing Customer,52,F,1,Graduate,Single,$40K - $60K,Blue,40,2,6,2,6,3.0,1,1,3,1,"",1,"",1,8,89,130612,110970
718468158,Existing Customer,38,M,1,Uneducated,Married,$60K - $80K,Blue,25,6,6,8,4,0.67,2,1,"",3,2,2,1,3,14,89,109345,106021
719415858,Existing Customer,29,M,0,College,Divorced,Unknown,Blue,15,6,4,5,5,0.83,1,1,1,1,1,1,1,2,9,80,77486,119896
719609433,Existing Customer,55,F,4,Uneducated,Divorced,$40K - $60K,Blue,43,5,1,3,3,0.6,"","","",1,"",2,1,"",4,97,129674,129747
720706008,Existing Customer,30,M,2,Post-Graduate,Single,$40K - $60K,Blue,16,5,7,2,10,2.0,5,"",1,1,"",1,"",1,9,85,119440,96267
721129383,Existing Customer,53,F,1,Doctorate,Married,Less than $40K,Blue,36,3,4,5,2,0.67,"",1,2,1,1,2,1,1,9,84,131184,97372
756727233,Existing Customer,49,M,2,High School,Single,$120K +,Blue,42,3,4,2,5,1.67,1,"",1,2,"",1,1,"",6,101,144034,124878
766111383,Existing Customer,38,F,2,High School,Married,$40K - $60K,Blue,31,4,4,8,0,0.0,1,"",3,"",2,5,"",1,12,79,101426,84081
768712383,Attrited Customer,51,M,5,Graduate,Divorced,$120K +,Blue,45,6,3,4,5,0.83,1,"",2,"",2,"",2,"",7,105,121043,162397
770753733,Existing Customer,42,F,5,College,Single,Less than $40K,Blue,28,4,4,6,2,0.5,"",2,2,"",2,"","",4,10,77,79761,119057
771433608,Existing Customer,54,M,4,Uneducated,Single,$80K - $120K,Blue,42,5,4,7,2,0.4,1,1,1,1,"",3,3,1,11,95,144519,89003
771903033,Existing Customer,36,F,1,Graduate,Married,Less than $40K,Blue,25,5,3,"","","",1,"",1,1,"","","","",3,88,130312,99967
772346358,Existing Customer,52,F,3,Uneducated,Single,Less than $40K,Blue,41,2,5,2,5,2.5,2,1,2,"",1,1,"","",7,88,105774,123185
772394883,Attrited Customer,60,F,1,Uneducated,Single,Unknown,Blue,50,3,3,6,0,0.0,1,"",1,1,1,2,3,"",9,86,103393,121962
772415808,Existing Customer,48,F,5,Post-Graduate,Married,$40K - $60K,Blue,38,3,5,7,1,0.33,1,2,1,1,1,1,2,3,12,95,134463,89772
778825908,Existing Customer,43,F,2,Unknown,Single,Less than $40K,Silver,24,1,4,3,2,2.0,1,"",1,2,2,"","",1,7,89,116107,108975
779571708,Attrited Customer,43,M,5,Graduate,Married,$60K - $80K,Blue,25,1,8,3,6,6.0,1,3,1,3,1,"","",2,11,95,126684,132894
781013958,Existing Customer,57,F,3,Unknown,Married,$40K - $60K,Blue,48,4,3,5,2,0.5,1,"",1,1,2,2,1,"",8,94,134885,115911
787581858,Existing Customer,46,M,2,Unknown,Unknown,$120K +,Blue,37,3,3,5,1,0.33,1,"",1,1,2,1,"",2,8,75,74026,104577
788997408,Existing Customer,65,F,2,Doctorate,Single,Less than $40K,Blue,53,6,4,7,3,0.5,2,"",1,1,2,1,3,1,11,107,165207,126081
793269933,Existing Customer,46,M,3,Graduate,Unknown,$60K - $80K,Silver,40,6,8,4,10,1.67,4,2,"",2,1,2,1,"",12,102,103743,121702
811762383,Existing Customer,42,F,2,Graduate,Married,Less than $40K,Blue,37,4,8,3,9,2.25,1,2,3,2,1,"",1,1,11,84,124103,93968
812788233,Existing Customer,31,F,0,Graduate,Married,Less than $40K,Blue,21,4,4,8,0,0.0,2,"","",2,1,1,1,5,12,101,122326,128455
815308683,Existing Customer,46,M,3,College,Married,$80K - $120K,Blue,41,4,9,2,11,2.75,3,3,1,2,1,"",1,"",11,104,162550,99275
815472108,Existing Customer,42,M,3,High School,Single,$40K - $60K,Blue,37,3,4,5,2,0.67,1,3,"","",1,2,"",2,9,100,121887,150916
816310158,Existing Customer,49,M,4,Uneducated,Unknown,$60K - $80K,Blue,44,1,5,7,-1,-1.0,1,1,1,2,4,1,2,"",12,91,104348,118405
817970208,Existing Customer,45,M,1,Uneducated,Divorced,Less than $40K,Blue,40,4,8,8,4,1.0,2,3,1,2,3,1,3,1,16,89,125411,96982
821157183,Existing Customer,42,F,5,Unknown,Married,Less than $40K,Blue,37,5,5,3,7,1.4,2,2,"",1,1,1,1,"",8,76,106668,78905
822952158,Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,49,4,1,3,2,0.5,1,"","","","",1,2,"",4,87,108262,127336
824805858,Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,35,5,2,5,2,0.4,"",1,"",1,"",3,2,"",7,82,100706,102043
827901183,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,47,2,9,4,7,3.5,2,2,4,1,"",1,1,2,13,80,88707,109697
708884658,Existing Customer,48,F,2,Graduate,Married,Less than $40K,Blue,31,5,4,6,3,0.6,"",2,1,1,4,1,"",1,10,83,92877,105785
709035708,Existing Customer,38,F,0,Unknown,Married,Less than $40K,Blue,36,4,4,5,3,0.75,2,1,"",1,2,1,2,"",9,90,133578,95832
709339758,Existing Customer,43,M,3,Unknown,Single,$120K +,Blue,30,4,6,5,5,1.25,"",3,2,1,"",3,"",2,11,101,132199,115140
709528308,Existing Customer,53,M,4,High School,Married,$80K - $120K,Blue,46,4,5,5,4,1.0,3,"",2,"",2,"","",3,10,99,123022,125501
709646433,Attrited Customer,59,F,1,High School,Married,Less than $40K,Blue,50,1,4,6,-1,-1.0,"",2,1,1,4,1,1,"",10,86,134300,88417
709762908,Existing Customer,52,F,1,Uneducated,Married,Unknown,Blue,40,2,6,5,3,1.5,1,"",3,2,2,1,1,1,11,97,109924,138718
709952658,Existing Customer,46,F,3,Graduate,Unknown,Less than $40K,Blue,33,6,5,6,5,0.83,2,1,2,"",2,2,"",2,11,93,107035,125376
709971708,Attrited Customer,51,F,1,High School,Single,Unknown,Blue,41,3,4,6,1,0.33,1,1,1,1,1,2,1,2,10,91,112114,129692
710213508,Existing Customer,63,M,1,High School,Single,$60K - $80K,Blue,54,2,3,4,1,0.5,1,1,"",1,1,"",3,"",7,98,82075,146228
710303208,Existing Customer,52,F,1,High School,Single,Less than $40K,Blue,40,2,3,4,1,0.5,2,"","",1,"",1,1,2,7,92,134713,95301
711126483,Existing Customer,37,F,1,Graduate,Single,Less than $40K,Blue,28,4,7,7,4,1.0,4,3,"","","",1,4,2,14,94,116909,129260
711337158,Existing Customer,56,M,2,Graduate,Married,$40K - $60K,Blue,49,3,4,5,2,0.67,1,"",2,1,"",2,1,2,9,98,139817,100667
711459483,Existing Customer,43,F,3,High School,Unknown,Less than $40K,Blue,36,6,4,8,2,0.33,1,2,1,"","",3,5,"",12,98,139999,95358
712777233,Attrited Customer,65,M,0,Graduate,Single,Unknown,Blue,48,1,6,8,-1,-1.0,"",2,1,3,4,1,"",3,14,96,120667,137167
713016633,Existing Customer,47,M,3,High School,Single,$60K - $80K,Blue,36,4,5,4,5,1.25,3,"","",2,1,1,"",2,9,102,133509,128625
713607108,Existing Customer,46,F,2,College,Divorced,Less than $40K,Blue,31,6,7,10,3,0.5,2,1,"",4,5,3,1,1,17,94,141624,67190
714155283,Existing Customer,46,F,2,Unknown,Married,Unknown,Blue,36,2,4,7,-1,-0.5,1,2,"",1,3,1,1,2,11,102,118545,126900
714382608,Existing Customer,35,F,2,Graduate,Married,Less than $40K,Blue,36,4,8,5,7,1.75,1,2,2,3,2,"",2,1,13,100,118807,123128
714738033,Existing Customer,44,F,4,Graduate,Married,Less than $40K,Blue,25,5,5,4,6,1.2,2,"","",3,1,1,"",2,9,91,103917,132976
715043508,Existing Customer,38,M,2,Graduate,Unknown,$40K - $60K,Blue,36,4,6,7,3,0.75,1,1,2,2,3,3,"",1,13,76,90986,108494
716552433,Existing Customer,40,F,4,Uneducated,Married,Less than $40K,Blue,36,4,3,8,-1,-0.25,"",1,1,1,2,3,2,1,11,80,109955,99829
716614683,Existing Customer,49,M,3,College,Single,$60K - $80K,Gold,36,5,11,5,11,2.2,2,3,2,4,2,2,1,"",16,111,132396,140382
716878533,Existing Customer,55,M,2,Unknown,Married,$80K - $120K,Blue,46,4,5,8,1,0.25,2,1,"",2,"",2,4,2,13,100,108989,153029
717239133,Existing Customer,52,F,1,College,Married,Unknown,Blue,40,5,5,3,7,1.4,3,1,1,"","",1,1,1,8,86,111063,120740
717371583,Attrited Customer,56,F,2,Uneducated,Single,Less than $40K,Blue,36,1,2,5,-2,-2.0,"","",1,1,1,2,"",2,7,98,125865,118156
718023708,Existing Customer,53,F,2,Uneducated,Single,$40K - $60K,Blue,42,2,6,7,1,0.5,"","",3,3,2,"",4,1,13,96,142738,116144
718497033,Existing Customer,52,M,1,High School,Married,$120K +,Blue,36,5,"",4,"","","","","","",1,2,"",1,4,93,126987,109835
718565733,Existing Customer,62,M,0,Unknown,Single,Less than $40K,Blue,36,3,8,7,4,1.33,1,1,2,4,"",5,"",2,15,93,102143,113022
718569258,Existing Customer,56,F,2,Unknown,Married,Less than $40K,Blue,36,5,7,4,8,1.6,2,3,1,1,"","",3,1,11,101,150228,110707
719518308,Existing Customer,48,M,2,Unknown,Unknown,$80K - $120K,Blue,35,5,5,3,7,1.4,1,2,1,1,"","",1,2,8,94,133792,111188
720371733,Existing Customer,58,F,0,Graduate,Married,Less than $40K,Blue,47,5,13,10,8,1.6,4,3,4,2,5,"",3,2,23,83,125609,103712
720413658,Existing Customer,44,M,2,High School,Married,$120K +,Blue,31,2,7,9,0,0.0,1,3,2,1,1,4,2,2,16,94,109048,112460
720708183,Existing Customer,53,F,1,Uneducated,Divorced,$40K - $60K,Silver,36,5,8,6,7,1.4,5,2,"",1,"",2,2,2,14,93,144498,115653
720778458,Existing Customer,49,M,3,Unknown,Married,$60K - $80K,Blue,36,6,3,2,7,1.17,1,1,1,"","","",1,1,5,95,123272,127446
720916683,Existing Customer,41,M,3,Graduate,Single,$80K - $120K,Blue,26,4,9,7,6,1.5,2,2,4,1,"",3,2,2,16,96,94597,136005
738627708,Attrited Customer,49,F,2,Unknown,Single,Unknown,Blue,41,5,5,2,8,1.6,1,2,2,"",2,"","","",7,106,144280,113891
743590608,Existing Customer,50,M,2,High School,Married,$60K - $80K,Blue,43,6,5,5,6,1.0,1,1,2,1,"",1,2,2,10,94,129971,106031
758186433,Existing Customer,37,F,1,Uneducated,Single,Less than $40K,Blue,30,3,11,10,4,1.33,3,1,5,2,1,3,3,3,21,110,144394,133224
758965158,Existing Customer,44,M,5,High School,Single,$80K - $120K,Blue,37,4,4,5,3,0.75,2,2,"","",2,1,2,"",9,95,120211,135340
778360608,Existing Customer,42,F,1,College,Divorced,Less than $40K,Blue,22,5,3,8,0,0.0,1,"",1,1,3,"",3,2,11,94,129623,90281
778502958,Existing Customer,47,M,3,Unknown,Divorced,$60K - $80K,Silver,35,4,3,7,0,0.0,1,1,"",1,4,1,"",2,10,72,111787,80778
779090883,Existing Customer,42,F,2,Unknown,Unknown,Less than $40K,Blue,23,6,4,1,9,1.5,1,1,2,"","","",1,"",5,112,177505,129665
779533983,Existing Customer,47,M,2,College,Divorced,$80K - $120K,Blue,31,3,6,5,4,1.33,3,2,1,"",3,1,"",1,11,98,115271,130123
779643858,Existing Customer,55,F,1,Graduate,Married,Less than $40K,Blue,38,5,7,4,8,1.6,1,3,2,1,1,1,2,"",11,99,121792,121848
780241758,Existing Customer,59,M,1,High School,Single,$60K - $80K,Blue,45,4,6,1,9,2.25,2,"",1,3,"","",1,"",7,86,118876,122411
785487783,Existing Customer,59,F,1,Graduate,Single,$40K - $60K,Blue,53,2,4,6,0,0.0,1,2,1,"","",3,1,2,10,89,110166,97590
788638908,Existing Customer,43,F,2,Graduate,Divorced,Less than $40K,Blue,30,4,6,3,7,1.75,1,1,2,2,"","",2,1,9,91,104162,118049
789047208,Existing Customer,57,F,2,High School,Single,Less than $40K,Blue,45,4,7,7,4,1.0,4,"","",3,1,4,2,"",14,78,133187,82345
789420933,Existing Customer,39,F,2,Uneducated,Married,Less than $40K,Blue,30,3,5,4,4,1.33,"",3,2,"","",2,1,1,9,92,124852,137987
790051758,Attrited Customer,50,M,2,Graduate,Single,$120K +,Blue,42,2,4,4,2,1.0,1,1,1,1,"",1,1,2,8,84,101638,107633
793428408,Existing Customer,50,F,3,Uneducated,Married,Less than $40K,Blue,44,2,4,3,3,1.5,"","",4,"",1,1,"",1,7,84,119614,99000
794227308,Existing Customer,56,M,2,College,Married,$80K - $120K,Blue,50,1,3,3,1,1.0,1,"",1,1,"",1,2,"",6,80,78455,133095
798022683,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,Blue,37,4,7,4,7,1.75,"",3,3,1,1,3,"","",11,81,63804,135896
809071083,Existing Customer,60,F,1,Graduate,Single,Less than $40K,Blue,55,4,7,6,5,1.25,1,6,"","",1,1,2,2,13,76,88681,95200
819051183,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,42,4,1,3,2,0.5,1,"","","",1,1,"",1,4,93,131050,104048
820276908,Attrited Customer,42,F,4,College,Married,$40K - $60K,Blue,37,3,6,10,-1,-0.33,1,2,3,"",2,3,2,3,16,88,129532,92955
708515358,Existing Customer,40,F,1,High School,Married,Less than $40K,Blue,36,6,5,3,8,1.33,1,"",3,1,"",1,2,"",8,94,130343,128977
708731658,Attrited Customer,53,F,0,High School,Married,Less than $40K,Blue,41,3,5,1,7,2.33,1,"",2,2,1,"","","",6,100,103717,141137
709039533,Existing Customer,43,F,3,Unknown,Unknown,Less than $40K,Blue,24,6,8,4,10,1.67,1,1,4,2,1,1,2,"",12,100,121773,112866
709216533,Existing Customer,52,M,2,College,Married,$80K - $120K,Blue,36,6,2,8,0,0.0,"","","",2,2,1,2,3,10,85,115719,97448
710125608,Existing Customer,45,F,5,Unknown,Single,Less than $40K,Blue,36,4,9,6,7,1.75,"",3,5,1,"",1,2,3,15,94,119821,133576
710769258,Existing Customer,40,F,2,Graduate,Single,Unknown,Blue,27,4,7,4,7,1.75,3,2,"",2,1,"",1,2,11,85,156118,91976
711327558,Existing Customer,38,M,2,High School,Married,$40K - $60K,Blue,36,3,13,6,10,3.33,2,3,4,4,1,1,3,1,19,96,129732,115011
711403383,Existing Customer,33,F,3,College,Single,Less than $40K,Blue,23,6,8,3,11,1.83,3,1,2,2,2,1,"","",11,105,119121,136298
711906033,Existing Customer,48,F,3,Graduate,Unknown,Less than $40K,Blue,36,4,7,4,7,1.75,1,3,1,2,2,1,1,"",11,77,90240,117246
712378983,Attrited Customer,54,M,1,Unknown,Single,$80K - $120K,Blue,47,5,2,1,6,1.2,"",1,"",1,"","",1,"",3,88,147682,98474
712693908,Attrited Customer,43,M,3,Graduate,Married,$120K +,Blue,31,2,5,10,-3,-1.5,"",3,1,1,3,2,3,2,15,96,134040,121160
712778658,Existing Customer,52,F,3,Graduate,Married,Less than $40K,Blue,39,4,4,2,6,1.5,"",1,2,1,"",1,1,"",6,99,118889,115793
712987608,Existing Customer,51,F,2,Doctorate,Single,Less than $40K,Blue,40,3,7,5,5,1.67,2,3,"",2,2,1,1,1,12,80,92289,116837
713008308,Existing Customer,59,F,0,Unknown,Married,Less than $40K,Blue,47,5,8,5,8,1.6,3,2,3,"","",2,2,1,13,84,83605,131819
713216883,Existing Customer,64,F,0,Unknown,Married,Less than $40K,Blue,55,4,9,1,12,3.0,"",4,2,3,"","",1,"",10,83,82264,115282
713299758,Existing Customer,53,M,1,High School,Single,Less than $40K,Blue,36,3,6,7,2,0.67,1,1,3,1,"",2,2,3,13,100,157101,103235
713895633,Existing Customer,56,F,1,High School,Unknown,$40K - $60K,Blue,36,2,3,6,-1,-0.5,1,1,"",1,"",2,1,3,9,87,100678,122921
715024233,Existing Customer,53,M,1,High School,Married,$120K +,Blue,36,6,5,8,3,0.5,1,"",1,3,2,2,1,3,13,110,147328,114966
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,8,-2,-0.5,"",1,"",1,3,"",3,2,10,103,108190,132832
715783758,Existing Customer,40,M,4,Graduate,Divorced,$120K +,Blue,30,5,8,5,8,1.6,2,1,3,2,2,1,1,1,13,86,141558,76365
716639058,Existing Customer,51,M,2,Graduate,Single,$120K +,Blue,40,4,3,5,2,0.5,1,2,"","",3,"",1,1,8,101,135646,127183
716669658,Attrited Customer,51,F,1,High School,Single,Less than $40K,Blue,33,6,8,7,7,1.17,1,1,1,5,2,"",3,2,15,93,134200,120913
717123858,Existing Customer,36,F,1,Graduate,Married,$40K - $60K,Blue,36,5,4,6,3,0.6,"",3,"",1,2,3,1,"",10,91,112357,110153
717203958,Existing Customer,51,M,3,Graduate,Married,$40K - $60K,Blue,36,6,3,4,5,0.83,"",2,1,"","",3,1,"",7,95,148284,103024
717255333,Attrited Customer,40,M,3,Graduate,Single,$80K - $120K,Blue,36,1,6,3,4,4.0,3,1,2,"",2,"","",1,9,96,122434,137982
717406983,Attrited Customer,30,M,2,Graduate,Unknown,$40K - $60K,Blue,36,4,7,7,4,1.0,"",1,3,3,1,2,3,1,14,98,143318,101865
717877533,Existing Customer,39,F,2,Graduate,Single,$40K - $60K,Blue,36,5,4,2,7,1.4,2,"",1,1,1,"","",1,6,86,106601,123038
718165758,Existing Customer,41,F,1,Graduate,Married,$40K - $60K,Blue,32,6,4,5,5,0.83,1,"",1,2,1,1,2,1,9,83,127996,114577
718866633,Existing Customer,46,M,2,College,Married,$80K - $120K,Blue,36,5,4,8,1,0.2,1,1,"",2,4,"",1,3,12,90,106941,123055
718919433,Existing Customer,52,F,4,Graduate,Single,Less than $40K,Blue,36,2,8,4,6,3.0,2,2,2,2,2,1,1,"",12,82,99121,117478
718994583,Existing Customer,48,F,2,College,Single,Less than $40K,Blue,35,3,7,3,7,2.33,1,4,2,"",2,1,"","",10,101,125158,111103
720133908,Existing Customer,41,M,2,Post-Graduate,Single,$40K - $60K,Blue,27,4,2,3,3,0.75,1,1,"","","",2,1,"",5,74,126892,66046
720191883,Existing Customer,45,M,3,High School,Single,$60K - $80K,Blue,35,5,5,12,-2,-0.4,"","",3,2,3,4,2,3,17,83,107376,92209
720372483,Existing Customer,60,F,0,High School,Married,Less than $40K,Blue,36,1,4,4,1,1.0,"",4,"","","",1,2,1,8,94,142169,99042
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37,2,7,5,4,2.0,"",5,1,1,"","",1,4,12,86,106249,113936
754564308,Existing Customer,46,F,3,Graduate,Married,$40K - $60K,Blue,39,3,4,5,2,0.67,2,2,"","",1,2,"",2,9,81,118885,93680
767269908,Existing Customer,36,M,2,College,Married,$120K +,Blue,29,6,5,5,6,1.0,1,1,2,1,1,1,"",3,10,82,100667,86550
770241333,Existing Customer,49,F,4,Graduate,Divorced,Less than $40K,Blue,43,3,8,6,5,1.67,1,2,2,3,1,1,3,1,14,102,143263,114585
771204108,Existing Customer,36,F,2,Uneducated,Single,Unknown,Blue,23,3,4,3,4,1.33,3,"",1,"","","",2,1,7,102,128316,116138
772721208,Existing Customer,50,M,2,High School,Single,$60K - $80K,Blue,40,4,6,3,7,1.75,"",1,"",5,"",1,2,"",9,89,106008,111763
778799583,Existing Customer,35,F,0,Unknown,Married,Less than $40K,Blue,24,6,2,2,6,1.0,1,"",1,"",1,"",1,"",4,92,104509,127687
778937583,Existing Customer,46,F,3,Uneducated,Married,Less than $40K,Blue,29,5,6,10,1,0.2,3,"",1,2,"",2,3,5,16,93,143239,108511
779218233,Existing Customer,47,F,5,Post-Graduate,Single,Less than $40K,Blue,37,2,6,6,2,1.0,1,3,1,1,4,1,1,"",12,100,108296,147873
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,5,6,1,0.5,2,1,"",2,1,"",3,2,11,86,100723,103549
779980758,Existing Customer,58,M,2,High School,Divorced,$60K - $80K,Blue,46,6,4,8,2,0.33,2,"",1,1,1,3,3,1,12,97,140043,123942
780008358,Attrited Customer,59,M,0,Uneducated,Unknown,$60K - $80K,Blue,48,2,2,7,-3,-1.5,"","",1,1,1,1,2,3,9,90,86471,124063
789419658,Existing Customer,47,F,4,College,Married,Unknown,Blue,38,3,4,7,0,0.0,1,1,1,1,1,4,"",2,11,106,157711,137339
789531633,Existing Customer,53,F,4,Graduate,Single,Less than $40K,Blue,46,4,5,4,5,1.25,2,1,2,"",2,2,"","",9,83,102893,102743
789690483,Existing Customer,39,M,4,High School,Married,$80K - $120K,Blue,25,6,3,1,8,1.33,"",1,"",2,"",1,"","",4,91,105318,107812
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,7,3,8,2.0,4,1,2,"","","",2,1,10,88,97093,96139
806824908,Existing Customer,45,M,2,Unknown,Married,$120K +,Blue,40,4,1,8,-3,-0.75,"","",1,"",1,4,2,1,9,111,137717,120020
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,6,7,5,0.83,"",2,1,3,1,2,3,1,13,97,130818,106021
810586833,Existing Customer,38,F,3,Graduate,Divorced,Unknown,Blue,33,6,5,4,7,1.17,1,2,1,1,1,1,1,1,9,96,135807,123040
814513008,Existing Customer,38,M,2,Graduate,Married,$80K - $120K,Blue,33,5,3,6,2,0.4,"","","",3,"","",1,5,9,95,118324,125719
820651908,Existing Customer,46,F,3,Graduate,Single,$40K - $60K,Blue,41,5,6,4,7,1.4,3,1,2,"","",1,3,"",10,94,116214,136675
821815458,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,44,5,5,3,7,1.4,"",1,3,1,"",1,1,1,8,103,89851,144258
708611733,Existing Customer,42,F,1,College,Married,Unknown,Blue,33,4,6,12,-2,-0.5,1,2,2,1,2,2,4,4,18,89,121154,116093
709816158,Existing Customer,31,F,1,Unknown,Single,Unknown,Silver,36,4,4,1,7,1.75,2,1,1,"","","",1,"",5,111,129771,154817
710504283,Existing Customer,50,M,1,Uneducated,Married,$80K - $120K,Blue,39,6,6,2,10,1.67,3,"",2,1,2,"","","",8,88,127722,95829
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,4,8,0,0.0,"",2,1,1,1,2,3,2,12,86,144251,86266
711113958,Existing Customer,37,F,3,Unknown,Married,Less than $40K,Blue,25,6,10,3,13,2.17,3,1,3,3,2,1,"","",13,101,113591,126937
711167808,Attrited Customer,40,M,4,Unknown,Single,$60K - $80K,Blue,30,4,5,3,6,1.5,"",1,1,3,"",2,"",1,8,100,140569,125758
711410958,Existing Customer,40,M,3,High School,Married,$60K - $80K,Blue,28,2,2,3,1,0.5,1,"",1,"",2,"","",1,5,94,153102,98906
711657783,Existing Customer,50,F,2,College,Single,Less than $40K,Blue,41,6,6,5,7,1.17,2,2,2,"",1,"",2,2,11,108,120360,153775
711724083,Attrited Customer,27,F,0,Unknown,Single,Less than $40K,Blue,16,6,3,3,6,1.0,1,"",1,1,1,1,1,"",6,89,117167,110737
711814608,Existing Customer,41,F,5,High School,Married,$40K - $60K,Silver,36,2,5,5,2,1.0,2,"","",3,"",2,2,1,10,81,108684,86725
711878733,Existing Customer,60,M,1,Uneducated,Married,$60K - $80K,Blue,48,3,3,4,2,0.67,"",1,2,"","",2,1,1,7,104,142051,145684
711885258,Existing Customer,47,F,4,High School,Married,Less than $40K,Blue,31,5,5,7,3,0.6,2,1,1,1,2,2,3,"",12,86,110520,96841
